quality_label,alcohol,volatile acidity,citric acid,alcohol_bin,volatile acidity_bin,citric acid_bin
中等,9.2,0.31,0.37,Q1,Q1,Q3
中等,9.2,0.66,0.26,Q1,Q4,Q2
中等,9.4,0.52,0.04,Q1,Q2,Q1
中等,9.4,0.5,0.04,Q1,Q2,Q1
中等,9.4,0.38,0.36,Q1,Q1,Q3
中等,10.2,0.51,0.15,Q2,Q2,Q2
中等,9.5,0.62,0.04,Q1,Q3,Q1
中等,9.6,0.42,0.57,Q2,Q2,Q4
中等,9.4,0.63,0.12,Q1,Q3,Q2
中等,10.0,0.59,0.18,Q2,Q3,Q2
中等,9.4,0.39,0.31,Q1,Q1,Q3
中等,9.2,0.4,0.4,Q1,Q2,Q3
中等,9.3,0.69,0.49,Q1,Q4,Q4
好酒,9.5,0.52,0.16,Q1,Q2,Q2
中等,9.8,0.735,0.05,Q2,Q4,Q1
中等,10.9,0.725,0.05,Q3,Q4,Q1
中等,10.9,0.725,0.05,Q3,Q4,Q1
中等,9.6,0.52,0.11,Q2,Q2,Q2
中等,10.7,0.705,0.07,Q3,Q4,Q1
中等,10.7,0.32,0.57,Q3,Q1,Q4
中等,10.5,0.705,0.05,Q3,Q4,Q1
中等,9.5,0.63,0.08,Q1,Q3,Q1
中等,9.5,0.67,0.23,Q1,Q4,Q2
中等,9.5,0.69,0.22,Q1,Q4,Q2
差酒,9.2,0.675,0.26,Q1,Q4,Q2
中等,9.6,0.32,0.54,Q2,Q1,Q4
中等,10.5,0.41,0.64,Q3,Q2,Q4
中等,10.5,0.41,0.64,Q3,Q2,Q4
中等,10.7,0.785,0.0,Q3,Q4,Q1
中等,10.1,0.75,0.12,Q2,Q4,Q2
差酒,9.1,0.625,0.2,Q1,Q3,Q2
中等,9.2,0.45,0.2,Q1,Q2,Q2
中等,9.4,0.43,0.7,Q1,Q2,Q4
中等,9.1,0.5,0.47,Q1,Q2,Q4
中等,9.4,0.67,0.26,Q1,Q4,Q2
中等,10.3,0.3,0.48,Q3,Q1,Q4
中等,10.1,0.55,0.15,Q2,Q3,Q2
中等,9.9,0.49,0.28,Q2,Q2,Q3
中等,9.6,0.49,0.26,Q2,Q2,Q2
中等,9.5,0.39,0.44,Q1,Q1,Q4
中等,9.0,0.62,0.08,Q1,Q3,Q1
中等,9.5,0.52,0.26,Q1,Q2,Q2
中等,9.9,0.49,0.28,Q2,Q2,Q3
中等,9.8,0.49,0.29,Q2,Q2,Q3
中等,9.6,0.49,0.26,Q2,Q2,Q2
差酒,10.5,1.02,0.04,Q3,Q4,Q1
中等,12.9,0.6,0.17,Q4,Q3,Q2
中等,10.7,0.775,0.0,Q3,Q4,Q1
中等,9.2,0.5,0.25,Q1,Q2,Q2
中等,9.8,0.9,0.06,Q2,Q4,Q1
中等,9.0,0.545,0.18,Q1,Q3,Q2
中等,10.2,0.61,0.3,Q2,Q3,Q3
中等,10.4,0.5,0.3,Q3,Q2,Q3
中等,9.0,0.545,0.18,Q1,Q3,Q2
中等,9.2,0.575,0.22,Q1,Q3,Q2
中等,9.4,0.49,0.24,Q1,Q2,Q2
中等,9.2,0.575,0.22,Q1,Q3,Q2
中等,9.3,0.41,0.68,Q1,Q2,Q4
中等,9.3,0.63,0.31,Q1,Q3,Q3
中等,9.6,0.33,0.53,Q2,Q1,Q4
中等,9.3,0.785,0.52,Q1,Q4,Q4
中等,9.5,0.56,0.19,Q1,Q3,Q2
中等,9.8,0.62,0.09,Q2,Q3,Q1
中等,9.8,0.6,0.1,Q2,Q3,Q2
中等,9.7,0.31,0.44,Q2,Q1,Q4
中等,9.5,0.56,0.19,Q1,Q3,Q2
中等,10.5,0.4,0.31,Q3,Q2,Q3
中等,10.0,0.54,0.28,Q2,Q3,Q3
中等,9.4,0.56,0.12,Q1,Q3,Q2
中等,10.9,0.55,0.04,Q3,Q3,Q1
中等,9.2,0.69,0.08,Q1,Q4,Q1
中等,9.0,1.07,0.09,Q1,Q4,Q1
中等,10.9,0.55,0.04,Q3,Q3,Q1
中等,9.2,0.695,0.0,Q1,Q4,Q1
中等,9.5,0.71,0.0,Q1,Q4,Q1
中等,9.5,0.5,0.17,Q1,Q2,Q2
中等,9.4,0.62,0.04,Q1,Q3,Q1
中等,10.9,1.33,0.0,Q3,Q4,Q1
中等,10.9,1.33,0.0,Q3,Q4,Q1
好酒,10.5,0.59,0.16,Q3,Q3,Q2
中等,9.4,0.38,0.15,Q1,Q1,Q2
中等,9.4,0.745,0.56,Q1,Q4,Q4
中等,13.0,0.5,0.09,Q4,Q2,Q1
中等,13.0,0.5,0.09,Q4,Q2,Q1
中等,9.8,0.5,0.01,Q2,Q2,Q1
中等,9.9,1.04,0.05,Q2,Q4,Q1
中等,9.6,0.745,0.11,Q2,Q4,Q2
中等,9.5,0.715,0.15,Q1,Q4,Q2
中等,9.2,0.415,0.36,Q1,Q2,Q3
中等,9.5,0.56,0.19,Q1,Q3,Q2
中等,9.5,0.56,0.19,Q1,Q3,Q2
中等,9.6,0.745,0.11,Q2,Q4,Q2
中等,9.5,0.715,0.15,Q1,Q4,Q2
中等,14.0,0.34,0.0,Q4,Q1,Q1
中等,9.4,0.39,0.08,Q1,Q1,Q1
中等,14.0,0.34,0.0,Q4,Q1,Q1
中等,9.4,0.67,0.55,Q1,Q4,Q4
中等,10.0,0.68,0.02,Q2,Q4,Q1
中等,9.3,0.49,0.26,Q1,Q2,Q2
中等,10.2,0.49,0.1,Q2,Q2,Q2
中等,10.5,0.4,0.44,Q3,Q2,Q4
中等,10.3,0.33,0.47,Q3,Q1,Q4
差酒,9.4,0.52,1.0,Q1,Q2,Q4
中等,10.1,0.6,0.03,Q2,Q3,Q1
中等,10.1,0.6,0.03,Q2,Q3,Q1
中等,10.5,0.43,0.42,Q3,Q2,Q3
中等,10.5,0.43,0.42,Q3,Q2,Q3
中等,10.5,0.43,0.42,Q3,Q2,Q3
中等,10.5,0.43,0.42,Q3,Q2,Q3
中等,9.3,0.68,0.0,Q1,Q4,Q1
中等,9.3,0.6,0.18,Q1,Q3,Q2
中等,9.6,0.95,0.03,Q2,Q4,Q1
差酒,9.2,0.68,0.02,Q1,Q4,Q1
中等,10.0,0.53,0.04,Q2,Q3,Q1
中等,9.4,0.6,0.26,Q1,Q3,Q2
中等,9.4,0.59,0.26,Q1,Q3,Q2
中等,9.5,0.63,0.48,Q1,Q3,Q4
中等,10.2,0.64,0.1,Q2,Q3,Q2
差酒,9.0,0.55,0.03,Q1,Q3,Q1
中等,10.4,0.63,0.07,Q3,Q3,Q1
中等,9.5,0.705,0.24,Q1,Q4,Q2
差酒,9.1,0.885,0.03,Q1,Q4,Q1
中等,9.2,0.42,0.17,Q1,Q2,Q2
中等,9.2,0.42,0.17,Q1,Q2,Q2
中等,11.5,0.62,0.05,Q4,Q3,Q1
中等,9.5,0.38,0.21,Q1,Q1,Q2
中等,9.5,0.5,0.04,Q1,Q2,Q1
中等,9.5,0.38,0.21,Q1,Q1,Q2
中等,10.5,0.52,0.42,Q3,Q2,Q3
中等,9.6,0.805,0.0,Q2,Q4,Q1
中等,9.5,0.61,0.14,Q1,Q3,Q2
中等,9.5,0.61,0.14,Q1,Q3,Q2
中等,9.3,0.61,0.49,Q1,Q3,Q4
中等,9.3,0.73,0.02,Q1,Q4,Q1
中等,9.3,0.61,0.2,Q1,Q3,Q2
中等,9.3,0.62,0.21,Q1,Q3,Q2
中等,9.7,0.31,0.57,Q2,Q1,Q4
中等,9.2,0.39,0.48,Q1,Q1,Q4
中等,9.7,0.705,0.1,Q2,Q4,Q2
中等,9.5,0.5,0.33,Q1,Q2,Q3
中等,9.5,0.49,0.32,Q1,Q2,Q3
中等,9.4,0.5,0.35,Q1,Q2,Q3
中等,9.8,0.37,0.25,Q2,Q1,Q2
中等,9.5,0.63,0.12,Q1,Q3,Q2
中等,9.7,0.55,0.21,Q2,Q3,Q2
中等,9.7,0.55,0.21,Q2,Q3,Q2
中等,9.4,0.59,0.33,Q1,Q3,Q3
中等,10.2,0.58,0.3,Q2,Q3,Q3
中等,10.1,0.3,0.6,Q2,Q1,Q4
好酒,13.0,0.835,0.08,Q4,Q4,Q1
差酒,11.4,1.09,0.06,Q4,Q4,Q1
好酒,10.3,0.32,0.47,Q3,Q1,Q4
中等,9.3,0.37,0.48,Q1,Q1,Q4
中等,9.5,0.5,0.11,Q1,Q2,Q2
中等,9.2,0.42,0.35,Q1,Q2,Q3
中等,9.2,0.43,0.36,Q1,Q2,Q3
好酒,10.8,0.3,0.74,Q3,Q1,Q4
好酒,10.8,0.3,0.74,Q3,Q1,Q4
中等,9.3,0.57,0.31,Q1,Q3,Q3
中等,9.4,0.44,0.28,Q1,Q2,Q3
好酒,10.5,0.3,0.58,Q3,Q1,Q4
中等,12.4,0.53,0.6,Q4,Q3,Q4
中等,10.0,0.725,0.24,Q2,Q4,Q2
中等,10.2,0.44,0.64,Q2,Q2,Q4
中等,10.1,0.57,0.26,Q2,Q3,Q2
中等,9.8,0.735,0.08,Q2,Q4,Q1
中等,10.5,0.49,0.49,Q3,Q2,Q4
中等,11.0,0.625,0.16,Q3,Q3,Q2
中等,9.1,0.725,0.22,Q1,Q4,Q2
中等,9.7,0.49,0.19,Q2,Q2,Q2
中等,9.5,0.53,0.33,Q1,Q3,Q3
中等,9.4,0.34,0.37,Q1,Q1,Q3
中等,9.4,0.53,0.26,Q1,Q3,Q2
中等,9.5,0.61,0.04,Q1,Q3,Q1
中等,10.0,0.645,0.25,Q2,Q4,Q2
差酒,10.4,0.635,0.36,Q3,Q3,Q3
中等,10.5,0.43,0.25,Q3,Q2,Q2
中等,9.5,0.59,0.5,Q1,Q3,Q4
中等,9.8,0.82,0.14,Q2,Q4,Q2
中等,10.5,0.43,0.25,Q3,Q2,Q2
中等,11.0,0.52,0.25,Q3,Q2,Q2
好酒,12.2,0.48,0.04,Q4,Q2,Q1
中等,9.9,0.38,0.06,Q2,Q1,Q1
中等,9.6,0.37,0.2,Q2,Q1,Q2
中等,11.0,0.52,0.25,Q3,Q2,Q2
中等,9.0,1.0,0.09,Q1,Q4,Q1
中等,9.0,0.63,0.0,Q1,Q3,Q1
中等,9.0,0.63,0.0,Q1,Q3,Q1
中等,9.2,0.645,0.0,Q1,Q4,Q1
中等,9.0,0.63,0.0,Q1,Q3,Q1
中等,9.0,1.0,0.09,Q1,Q4,Q1
中等,9.3,0.635,0.37,Q1,Q3,Q3
中等,10.9,0.38,0.56,Q3,Q1,Q4
中等,9.8,0.58,0.1,Q2,Q3,Q2
好酒,9.2,0.21,0.44,Q1,Q1,Q4
好酒,9.2,0.21,0.44,Q1,Q1,Q4
中等,9.9,0.66,0.0,Q2,Q4,Q1
中等,9.5,0.68,0.07,Q1,Q4,Q1
中等,9.3,0.6,0.17,Q1,Q3,Q2
中等,9.8,0.53,0.06,Q2,Q3,Q1
中等,9.9,0.66,0.0,Q2,Q4,Q1
中等,10.0,0.32,0.44,Q2,Q1,Q4
中等,9.9,0.6,0.0,Q2,Q3,Q1
中等,10.5,0.35,0.48,Q3,Q1,Q4
中等,9.5,0.775,0.42,Q1,Q4,Q3
中等,9.9,0.6,0.0,Q2,Q3,Q1
中等,9.3,0.57,0.23,Q1,Q3,Q2
中等,9.2,0.34,0.37,Q1,Q1,Q3
中等,9.2,0.695,0.0,Q1,Q4,Q1
中等,9.4,0.41,0.76,Q1,Q2,Q4
好酒,10.5,0.31,0.47,Q3,Q1,Q4
中等,9.3,0.33,0.23,Q1,Q1,Q2
差酒,9.4,0.975,0.04,Q1,Q4,Q1
中等,10.0,0.52,0.03,Q2,Q2,Q1
中等,9.3,0.37,0.23,Q1,Q1,Q2
中等,10.9,0.56,0.49,Q3,Q3,Q4
好酒,10.2,0.26,0.52,Q2,Q1,Q4
差酒,9.8,0.87,0.0,Q2,Q4,Q1
好酒,12.8,0.35,0.46,Q4,Q1,Q4
中等,9.4,0.54,0.04,Q1,Q3,Q1
中等,10.1,0.18,0.51,Q2,Q1,Q4
中等,10.7,0.545,0.06,Q3,Q3,Q1
中等,10.1,0.18,0.51,Q2,Q1,Q4
中等,10.1,0.37,0.58,Q2,Q1,Q4
中等,9.4,0.715,0.2,Q1,Q4,Q2
中等,9.4,0.65,0.18,Q1,Q4,Q2
中等,10.7,0.545,0.06,Q3,Q3,Q1
中等,9.4,0.54,0.04,Q1,Q3,Q1
中等,10.1,0.18,0.51,Q2,Q1,Q4
好酒,12.6,0.32,0.45,Q4,Q1,Q4
好酒,10.5,0.4,0.32,Q3,Q2,Q3
中等,9.3,0.26,0.44,Q1,Q1,Q4
好酒,9.9,0.27,0.68,Q2,Q1,Q4
中等,9.1,0.52,0.12,Q1,Q2,Q2
好酒,10.5,0.4,0.32,Q3,Q2,Q3
中等,9.8,0.59,0.07,Q2,Q3,Q1
中等,9.8,0.59,0.07,Q2,Q3,Q1
中等,10.3,0.45,0.55,Q3,Q2,Q4
中等,10.3,0.4,0.12,Q3,Q2,Q2
好酒,10.6,0.52,0.09,Q3,Q2,Q1
中等,9.2,0.42,0.53,Q1,Q2,Q4
好酒,10.6,0.52,0.09,Q3,Q2,Q1
中等,10.5,0.2,0.48,Q3,Q1,Q4
中等,10.3,0.55,0.23,Q3,Q3,Q2
中等,10.1,0.36,0.25,Q2,Q1,Q2
中等,9.5,0.34,0.52,Q1,Q1,Q4
中等,9.5,0.5,0.46,Q1,Q2,Q4
中等,9.9,0.83,0.37,Q2,Q4,Q3
中等,9.6,0.63,0.06,Q2,Q3,Q1
中等,9.7,0.65,0.02,Q2,Q4,Q1
中等,9.6,0.67,0.06,Q2,Q4,Q1
中等,10.7,0.53,0.06,Q3,Q3,Q1
中等,10.1,0.18,0.48,Q2,Q1,Q4
中等,10.0,0.705,0.12,Q2,Q4,Q2
中等,9.5,0.67,0.12,Q1,Q4,Q2
中等,9.2,0.65,0.6,Q1,Q4,Q4
中等,9.3,0.53,0.48,Q1,Q3,Q4
中等,9.4,0.62,0.32,Q1,Q3,Q3
中等,9.5,0.41,0.42,Q1,Q2,Q3
中等,9.5,0.43,0.44,Q1,Q2,Q4
中等,9.5,0.29,0.38,Q1,Q1,Q3
中等,9.3,0.53,0.48,Q1,Q3,Q4
中等,9.4,0.53,0.24,Q1,Q3,Q2
中等,9.5,0.46,0.31,Q1,Q2,Q3
中等,9.4,0.47,0.3,Q1,Q2,Q3
中等,11.0,0.36,0.29,Q3,Q1,Q3
中等,11.0,0.35,0.29,Q3,Q1,Q3
中等,10.1,0.56,0.23,Q2,Q3,Q2
中等,10.4,0.77,0.12,Q3,Q4,Q2
好酒,11.5,0.66,0.39,Q4,Q4,Q3
中等,10.4,0.77,0.12,Q3,Q4,Q2
好酒,11.5,0.66,0.39,Q4,Q4,Q3
中等,9.7,0.61,0.26,Q2,Q3,Q2
中等,9.3,0.62,0.05,Q1,Q3,Q1
中等,9.5,0.59,0.42,Q1,Q3,Q3
中等,9.2,0.49,0.2,Q1,Q2,Q2
中等,9.2,0.49,0.2,Q1,Q2,Q2
好酒,11.5,0.53,0.66,Q4,Q3,Q4
中等,11.5,0.44,0.5,Q4,Q2,Q4
中等,9.7,0.27,0.62,Q2,Q1,Q4
中等,9.5,0.46,0.39,Q1,Q2,Q3
中等,12.5,0.36,0.64,Q4,Q1,Q4
中等,12.5,0.36,0.64,Q4,Q1,Q4
中等,9.4,0.58,0.28,Q1,Q3,Q3
中等,11.0,0.56,0.08,Q3,Q3,Q1
好酒,11.7,0.65,0.01,Q4,Q4,Q1
好酒,12.2,0.695,0.53,Q4,Q4,Q4
中等,12.5,0.43,0.45,Q4,Q2,Q4
中等,10.3,0.43,0.32,Q3,Q2,Q3
中等,11.5,0.49,0.58,Q4,Q2,Q4
好酒,9.8,0.28,0.54,Q2,Q1,Q4
中等,9.2,0.34,0.5,Q1,Q1,Q4
中等,11.3,0.42,0.48,Q4,Q2,Q4
中等,9.8,0.39,0.47,Q2,Q1,Q4
中等,9.8,0.39,0.47,Q2,Q1,Q4
中等,10.7,0.57,0.5,Q3,Q3,Q4
中等,9.9,0.685,0.0,Q2,Q4,Q1
好酒,12.3,0.815,0.02,Q4,Q4,Q1
中等,12.0,0.49,0.67,Q4,Q2,Q4
中等,10.0,0.56,0.31,Q2,Q3,Q3
中等,9.4,0.785,0.0,Q1,Q4,Q1
中等,9.9,0.67,0.22,Q2,Q4,Q2
中等,9.4,0.795,0.0,Q1,Q4,Q1
中等,9.3,0.665,0.0,Q1,Q4,Q1
中等,13.0,0.53,0.79,Q4,Q3,Q4
中等,11.9,0.21,0.4,Q4,Q1,Q3
中等,12.8,0.75,0.01,Q4,Q4,Q1
中等,11.0,0.41,0.52,Q3,Q2,Q4
好酒,11.7,0.42,0.66,Q4,Q2,Q4
好酒,10.4,0.43,0.66,Q3,Q2,Q4
中等,9.8,0.38,0.66,Q2,Q1,Q4
中等,9.4,0.7,0.23,Q1,Q4,Q2
中等,9.9,0.45,0.31,Q2,Q2,Q3
中等,10.0,0.58,0.66,Q2,Q3,Q4
中等,10.2,0.46,0.63,Q2,Q2,Q4
好酒,10.0,0.615,0.66,Q2,Q3,Q4
中等,11.8,0.42,0.5,Q4,Q2,Q4
好酒,10.0,0.615,0.66,Q2,Q3,Q4
中等,9.0,0.575,0.61,Q1,Q3,Q4
中等,9.4,0.34,0.52,Q1,Q1,Q4
好酒,12.0,0.27,0.53,Q4,Q1,Q4
中等,9.9,0.765,0.02,Q2,Q4,Q1
中等,8.7,0.24,0.4,Q1,Q1,Q3
中等,10.6,0.28,0.48,Q3,Q1,Q4
中等,9.2,0.55,0.22,Q1,Q3,Q2
中等,10.8,0.41,0.63,Q3,Q2,Q4
好酒,11.8,0.54,0.71,Q4,Q3,Q4
中等,11.0,0.45,0.5,Q3,Q2,Q4
好酒,12.0,0.27,0.53,Q4,Q1,Q4
中等,13.3,0.625,0.66,Q4,Q3,Q4
中等,10.8,0.42,0.38,Q3,Q2,Q3
中等,9.4,0.26,0.42,Q1,Q1,Q3
中等,10.0,0.415,0.68,Q2,Q2,Q4
中等,9.4,0.26,0.42,Q1,Q1,Q3
中等,9.4,0.26,0.42,Q1,Q1,Q3
中等,9.2,0.51,0.28,Q1,Q2,Q3
中等,9.7,0.63,0.07,Q2,Q3,Q1
中等,9.2,0.54,0.26,Q1,Q3,Q2
中等,9.6,0.66,0.15,Q2,Q4,Q2
中等,9.2,0.46,0.26,Q1,Q2,Q2
好酒,10.0,0.38,0.31,Q2,Q1,Q3
好酒,12.9,0.85,0.05,Q4,Q4,Q1
中等,10.0,0.415,0.68,Q2,Q2,Q4
中等,9.5,0.37,0.52,Q1,Q1,Q4
中等,9.1,0.665,0.61,Q1,Q4,Q4
中等,9.9,0.6,0.65,Q2,Q3,Q4
好酒,13.0,0.37,0.76,Q4,Q1,Q4
中等,9.9,0.735,0.02,Q2,Q4,Q1
中等,11.0,0.59,0.59,Q3,Q3,Q4
中等,11.0,0.59,0.59,Q3,Q3,Q4
中等,9.4,0.765,0.22,Q1,Q4,Q2
中等,9.9,0.735,0.02,Q2,Q4,Q1
中等,10.8,0.26,0.3,Q3,Q1,Q3
中等,10.5,0.48,0.54,Q3,Q2,Q4
中等,10.5,0.6,0.49,Q3,Q3,Q4
中等,9.1,0.69,0.05,Q1,Q4,Q1
中等,10.1,0.31,0.46,Q2,Q1,Q4
中等,10.8,0.44,0.47,Q3,Q2,Q4
好酒,10.8,0.39,0.66,Q3,Q1,Q4
中等,11.3,0.34,0.58,Q4,Q1,Q4
差酒,9.6,0.46,0.49,Q2,Q2,Q4
中等,9.5,0.43,0.34,Q1,Q2,Q3
中等,9.5,0.45,0.35,Q1,Q2,Q3
中等,9.3,0.735,0.16,Q1,Q4,Q2
好酒,11.7,0.4,0.53,Q4,Q2,Q4
中等,9.5,0.52,0.34,Q1,Q2,Q3
中等,9.3,0.725,0.24,Q1,Q4,Q2
中等,11.7,0.48,0.64,Q4,Q2,Q4
中等,10.5,0.58,0.12,Q3,Q3,Q2
中等,10.4,0.38,0.51,Q3,Q1,Q4
中等,9.9,0.77,0.0,Q2,Q4,Q1
好酒,11.8,0.56,0.33,Q4,Q3,Q3
好酒,12.3,0.84,0.03,Q4,Q4,Q1
中等,10.9,0.96,0.2,Q3,Q4,Q2
好酒,11.0,0.24,0.47,Q3,Q1,Q4
中等,10.9,0.96,0.2,Q3,Q4,Q2
好酒,12.3,0.84,0.03,Q4,Q4,Q1
中等,11.4,0.67,0.08,Q4,Q4,Q1
中等,10.6,0.78,0.22,Q3,Q4,Q2
中等,9.3,0.52,0.33,Q1,Q2,Q3
中等,10.4,0.84,0.63,Q3,Q4,Q4
好酒,11.0,0.24,0.47,Q3,Q1,Q4
中等,9.2,0.55,0.35,Q1,Q3,Q3
中等,12.8,0.37,0.69,Q4,Q1,Q4
中等,9.5,0.39,0.63,Q1,Q1,Q4
中等,9.9,0.41,0.55,Q2,Q2,Q4
中等,9.5,0.39,0.63,Q1,Q1,Q4
中等,10.2,0.67,0.3,Q2,Q4,Q3
中等,11.2,0.45,0.73,Q4,Q2,Q4
中等,9.9,0.41,0.55,Q2,Q2,Q4
中等,9.3,0.62,0.18,Q1,Q3,Q2
好酒,9.8,0.31,0.72,Q2,Q1,Q4
中等,11.3,0.4,0.65,Q4,Q2,Q4
好酒,11.2,0.685,0.76,Q4,Q4,Q4
好酒,11.6,0.44,0.49,Q4,Q2,Q4
好酒,12.5,0.57,0.01,Q4,Q3,Q1
中等,10.1,0.735,0.1,Q2,Q4,Q2
中等,10.5,0.38,0.6,Q3,Q1,Q4
中等,11.2,0.48,0.29,Q4,Q2,Q3
中等,10.2,0.53,0.22,Q2,Q3,Q2
中等,10.8,0.39,0.69,Q3,Q1,Q4
中等,10.8,0.39,0.69,Q3,Q1,Q4
中等,9.1,0.37,0.53,Q1,Q1,Q4
中等,10.0,0.56,0.03,Q2,Q3,Q1
好酒,11.2,0.33,0.63,Q4,Q1,Q4
中等,11.1,0.23,0.4,Q3,Q1,Q3
好酒,13.4,0.62,0.67,Q4,Q3,Q4
中等,10.3,0.59,0.39,Q3,Q3,Q3
中等,9.6,0.63,0.21,Q2,Q3,Q2
好酒,11.2,0.33,0.63,Q4,Q1,Q4
差酒,9.0,0.58,0.66,Q1,Q3,Q4
中等,11.3,0.43,0.52,Q4,Q2,Q4
中等,9.3,0.615,0.22,Q1,Q3,Q2
中等,11.8,0.26,0.68,Q4,Q1,Q4
中等,9.0,0.66,0.7,Q1,Q4,Q4
中等,9.2,0.315,0.54,Q1,Q1,Q4
中等,9.7,0.29,0.4,Q2,Q1,Q3
中等,11.5,0.5,0.42,Q4,Q2,Q3
中等,14.0,0.46,0.45,Q4,Q2,Q4
中等,9.2,0.36,0.69,Q1,Q1,Q4
中等,9.8,0.82,0.02,Q2,Q4,Q1
中等,10.6,0.32,0.65,Q3,Q1,Q4
中等,11.4,0.54,0.42,Q4,Q3,Q3
中等,10.4,0.37,0.55,Q3,Q1,Q4
中等,10.6,0.35,0.55,Q3,Q1,Q4
中等,9.4,0.28,0.51,Q1,Q1,Q4
中等,10.2,0.68,0.24,Q2,Q4,Q2
中等,9.7,0.27,0.41,Q2,Q1,Q3
中等,11.0,0.24,0.49,Q3,Q1,Q4
中等,10.2,0.68,0.24,Q2,Q4,Q2
中等,10.1,0.685,0.11,Q2,Q4,Q2
中等,9.2,0.28,0.39,Q1,Q1,Q3
好酒,11.7,0.3,0.56,Q4,Q1,Q4
中等,9.4,0.36,0.59,Q1,Q1,Q4
中等,9.4,0.36,0.6,Q1,Q1,Q4
中等,13.4,0.44,0.68,Q4,Q2,Q4
中等,10.0,0.67,0.39,Q2,Q4,Q3
中等,10.0,0.67,0.39,Q2,Q4,Q3
中等,10.0,0.645,0.36,Q2,Q4,Q3
好酒,10.8,0.32,0.55,Q3,Q1,Q4
中等,10.2,0.39,0.4,Q2,Q1,Q3
中等,10.6,0.775,0.27,Q3,Q4,Q3
好酒,13.3,0.41,0.5,Q4,Q2,Q4
好酒,13.4,0.4,0.51,Q4,Q2,Q4
中等,11.6,0.69,0.31,Q4,Q4,Q3
中等,12.1,0.39,0.23,Q4,Q1,Q2
好酒,11.0,0.35,0.53,Q3,Q1,Q4
中等,9.0,0.52,0.25,Q1,Q2,Q2
中等,11.1,0.34,0.32,Q3,Q1,Q3
好酒,11.0,0.35,0.53,Q3,Q1,Q4
中等,11.6,0.69,0.31,Q4,Q4,Q3
中等,9.0,0.52,0.25,Q1,Q2,Q2
好酒,12.0,0.44,0.73,Q4,Q2,Q4
好酒,12.0,0.44,0.73,Q4,Q2,Q4
好酒,10.9,0.26,0.47,Q3,Q1,Q4
好酒,10.8,0.24,0.42,Q3,Q1,Q3
好酒,12.5,0.49,0.63,Q4,Q2,Q4
好酒,10.8,0.24,0.46,Q3,Q1,Q4
中等,9.5,0.67,0.55,Q1,Q4,Q4
中等,10.2,0.59,0.31,Q2,Q3,Q3
好酒,11.4,0.29,0.75,Q4,Q1,Q4
中等,9.5,0.42,0.49,Q1,Q2,Q4
